rating,rating_count,photos_count,desc_text_n_sentences,desc_text_n_words,desc_text_n_characters,desc_text_n_punctuations,desc_text_characters_per_sentence,desc_text_characters_per_punctuation,desc_text_characters_per_word,desc_text_words_per_sentence,desc_text_words_per_punctuation,desc_text_punctuations_per_sentence,desc_text_n_NNP,desc_text_n_DT,desc_text_n_NN,desc_text_n_VBZ,desc_text_n_VBN,desc_text_n_IN,desc_text_n_VBG,desc_text_n_JJ,desc_text_n_NNS,"desc_text_n_,",desc_text_n_CC,desc_text_n_.,desc_text_n_MD,desc_text_n_RB,desc_text_n_VB,desc_text_n_TO,desc_text_n_PRP,desc_text_n_CD,desc_text_n_VBD,desc_text_n_(,desc_text_n_),desc_text_n_WDT,desc_text_n_JJR,desc_text_n_PRP$,desc_text_n_VBP,desc_text_n_:,desc_text_n_RP,desc_text_n_WP,desc_text_n_RBR,desc_text_n_NNPS,desc_text_n_WRB,desc_text_n_$,desc_text_n_POS,desc_text_n_JJS,desc_text_n_PDT,desc_text_n_'',desc_text_n_``,desc_text_n_FW,desc_text_n_EX,desc_text_n_RBS,desc_text_n_CARDINAL,desc_text_n_ORG,desc_text_n_PERSON,desc_text_n_TIME,desc_text_n_PRODUCT,desc_text_n_ORDINAL,desc_text_n_GPE,desc_text_n_NORP,desc_text_n_PERCENT,desc_text_n_QUANTITY,desc_text_n_DATE,desc_text_n_WORK_OF_ART,desc_text_n_LOC,desc_text_n_MONEY,desc_text_n_LANGUAGE,desc_text_n_EVENT,desc_text_n_LAW,desc_text_n_FAC,title_n_sentences,title_n_words,title_n_characters,title_n_punctuations,title_characters_per_sentence,title_characters_per_punctuation,title_characters_per_word,title_words_per_sentence,title_words_per_punctuation,title_punctuations_per_sentence,title_n_NNP,title_n_IN,title_n_:,"title_n_,",title_n_CC,title_n_JJ,title_n_CD,title_n_NN,title_n_(,title_n_),title_n_'',title_n_VBD,title_n_NNS,title_n_TO,title_n_ORG,title_n_PERSON,title_n_CARDINAL,title_n_WORK_OF_ART,title_n_DATE,title_n_FAC,title_n_PRODUCT,title_n_QUANTITY,title_n_GPE,title_n_NORP,title_n_MONEY
5,1,4,14.0,170.0,774.0,30.0,55.285714285714285,25.8,4.552941176470588,12.142857142857142,5.666666666666667,2.142857142857143,4.0,17.0,34.0,5.0,3.0,15.0,4.0,8.0,15.0,4.0,7.0,14.0,3.0,2.0,7.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,1.0,12.0,12.0,6.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,12,1.0,50.0,285.0,0.0,285.0,-1.0,5.7,50.0,-1.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,1.0,12.0,12.0,6.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,6,4.0,158.0,787.0,50.0,196.75,15.74,4.981012658227848,39.5,3.16,12.5,85.0,4.0,5.0,2.0,1.0,6.0,1.0,7.0,2.0,3.0,6.0,3.0,1.0,2.0,1.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,1.0,12.0,12.0,6.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,5,10.0,187.0,813.0,27.0,81.3,30.11111111111111,4.347593582887701,18.7,6.925925925925926,2.7,21.0,13.0,30.0,8.0,5.0,23.0,3.0,10.0,4.0,12.0,4.0,10.0,1.0,4.0,3.0,6.0,8.0,9.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,1.0,12.0,12.0,6.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,3,20.0,323.0,1292.0,41.0,64.6,31.51219512195122,4.0,16.15,7.878048780487805,2.05,17.0,29.0,45.0,17.0,4.0,37.0,6.0,34.0,8.0,6.0,10.0,20.0,2.0,13.0,13.0,7.0,23.0,8.0,0.0,1.0,1.0,0.0,0.0,5.0,7.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,1.0,12.0,12.0,6.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,1,19.0,307.0,1434.0,64.0,75.47368421052632,22.40625,4.671009771986971,16.157894736842106,4.796875,3.3684210526315788,47.0,18.0,80.0,12.0,6.0,15.0,13.0,21.0,9.0,12.0,4.0,19.0,1.0,5.0,3.0,3.0,0.0,8.0,3.0,7.0,7.0,1.0,1.0,0.0,1.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,5.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,1.0,12.0,12.0,6.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,0,4.0,379.0,1458.0,113.0,364.5,12.902654867256636,3.846965699208443,94.75,3.353982300884956,28.25,65.0,4.0,63.0,4.0,3.0,18.0,8.0,20.0,9.0,15.0,7.0,3.0,1.0,2.0,7.0,12.0,2.0,61.0,5.0,11.0,11.0,1.0,0.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,1.0,1.0,0.0,0.0,26.0,10.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,90.0,2.0,90.0,45.0,4.5,20.0,10.0,2.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,0,3.0,187.0,734.0,34.0,244.66666666666666,21.58823529411765,3.9251336898395723,62.333333333333336,5.5,11.333333333333334,36.0,6.0,31.0,2.0,1.0,9.0,1.0,21.0,6.0,20.0,7.0,2.0,1.0,2.0,5.0,3.0,1.0,21.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,165.0,18.0,165.0,9.166666666666666,3.235294117647059,51.0,2.8333333333333335,18.0,19.0,1.0,0.0,14.0,0.0,0.0,10.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0,10.0,266.0,1238.0,74.0,123.8,16.72972972972973,4.654135338345864,26.6,3.5945945945945947,7.4,35.0,3.0,53.0,6.0,2.0,12.0,3.0,35.0,9.0,14.0,10.0,9.0,1.0,8.0,5.0,8.0,1.0,23.0,2.0,4.0,4.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,15.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,39.0,0.0,39.0,-1.0,4.875,8.0,-1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,1,0,6.0,94.0,434.0,13.0,72.33333333333333,33.38461538461539,4.617021276595745,15.666666666666666,7.230769230769231,2.1666666666666665,10.0,8.0,18.0,5.0,3.0,12.0,1.0,9.0,2.0,0.0,2.0,5.0,0.0,3.0,0.0,1.0,1.0,4.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,62.0,3.0,62.0,20.666666666666668,4.428571428571429,14.0,4.666666666666667,3.0,11.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,44,3,8.0,189.0,946.0,33.0,118.25,28.666666666666668,5.005291005291006,23.625,5.7272727272727275,4.125,23.0,14.0,26.0,12.0,0.0,10.0,4.0,32.0,13.0,8.0,12.0,8.0,0.0,4.0,3.0,4.0,3.0,5.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,47.0,3.0,47.0,15.666666666666666,4.7,10.0,3.3333333333333335,3.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
